generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.032,0,0.005,0
20000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.153345,0.0340273,0.0293309,0
20000,Carex_vacillans|MAI|spm00001889,Carex_riishirensis|KUR|spm00008043,29.5491,0.671778,0.00640004,0.167306,0
20000,Carex_boliviensis_ssp_occidentalis|MXE|spm00000250,Carex_crinalis|ECU|spm00000602,27.027,0.624419,-0.00526933,0.102112,0
20000,Carex_mesochorea|ALA|spm00001097,Carex_subfuegiana|CLS|spm00007554,31.05,0.907411,-0.0293501,0.0996911,0
20000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_foenea|BRC|spm00002000,33.646,1.38294,-0.0263445,0.464002,0
40000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.179376,0.0244543,0.0616857,0
40000,Carex_vacillans|MAI|spm00001889,Carex_riishirensis|KUR|spm00008043,29.9645,0.828548,0.00197771,0.199398,0
40000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_ventosa|NZ|NCBI_AUTHOR_Gardner_312,34.8093,1.74909,-0.0131633,0.474953,0
40000,Carex_cryptostachys|VIE|spm00007869,NA,19.4053,0.0150378,-0.0166268,0.0690608,0
40000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_foenea|BRC|spm00002000,31.8814,1.40725,-0.00928698,0.11089,0
40000,Carex_squamiformis|CHQ|spm00005924,Carex_kukkoneniana|MLW|spm00005600,11.5065,0.438456,-0.0457609,0.0736446,0
40000,Carex_scabrata|QUE|NCBI_Waterway_3706,NA,32.6313,0.359258,0.000384624,0.572524,0
60000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.164923,0.0183579,0.0140184,0
60000,Carex_vacillans|MAI|spm00001889,Carex_fucata|CHC|spm00006432,26.2935,0.665603,-0.0281007,0.0621027,0
60000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323,33.8161,1.13802,-0.00488717,0.157459,0
