generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.864402,-5386.98,0.879746,1
20000,4,-3.21782,-3394.14,5.73377,0.410667
40000,6,1.64233,-3367.3,2.12227,0.433
60000,8,-0.323138,-3355.24,3.50272,0.4479
80000,11,-2.81026,-3338.82,6.50408,0.445
100000,11,2.8045,-3320.59,3.55357,0.432222
120000,12,-8.05972,-3317.3,6.24862,0.450333
140000,15,-7.71596,-3286.87,11.2484,0.427
160000,13,1.39868,-3304.73,4.95636,0.416
180000,16,-9.73035,-3289.74,9.80777,0.464
200000,12,-2.67635,-3298.05,7.3548,0.407
220000,14,-9.51346,-3294.94,10.4156,0.415
240000,13,0.0162442,-3291.34,5.59054,0.445
260000,23,-9.04299,-3278.45,11.119,0.475
280000,13,-5.72261,-3303.68,8.77599,0.455
300000,17,-10.2777,-3269.97,6.88935,0.413
320000,15,-6.90428,-3295.26,6.76807,0.4355
340000,19,1.15388,-3253.05,10.4815,0.4182
360000,19,-5.88868,-3258.92,8.45768,0.471
380000,21,-9.50422,-3267.8,12.687,0.439
400000,30,-1.81522,-3260.59,12.8013,0.484
420000,15,-5.23485,-3279.47,10.2068,0.407
440000,19,1.08112,-3268.22,4.57913,0.416571
460000,15,-8.11425,-3282.09,10.2914,0.432
480000,25,-11.5973,-3246.9,13.1424,0.479
500000,18,-9.21935,-3272.19,10.6648,0.476
520000,16,-4.30437,-3287.04,8.21628,0.4622
540000,18,-4.10547,-3279.39,9.70415,0.445
560000,16,-5.86952,-3284.7,8.29523,0.45
580000,12,-6.89771,-3294.99,5.66084,0.386
600000,18,-11.155,-3286.94,9.65976,0.441714
620000,21,-5.28138,-3266.84,10.4219,0.466
640000,19,-5.52931,-3282.8,9.93624,0.43375
660000,13,-1.65522,-3292.69,5.64417,0.426
680000,21,-5.47978,-3239.3,13.0238,0.451
700000,16,-0.730026,-3267.69,8.09022,0.436
720000,18,-11.1221,-3274.74,11.3466,0.445
740000,14,-2.53123,-3282.25,6.60762,0.381
760000,17,-1.81933,-3274.61,11.4682,0.4255
780000,17,0.83248,-3288,7.66115,0.4
800000,16,-7.88746,-3274.56,9.16159,0.452
820000,16,-6.25102,-3289.19,10.1938,0.4315
840000,15,-0.530173,-3275.01,5.99084,0.412
860000,12,-3.87904,-3305.75,6.65717,0.4196
880000,16,5.28056,-3274.87,6.60299,0.444
900000,18,-10.2037,-3269.28,6.76786,0.40825
920000,18,-4.32466,-3269.02,11.3753,0.413
940000,17,-7.06471,-3268.74,10.9406,0.425
960000,25,-16.7373,-3254.23,15.9184,0.440333
980000,25,-10.5235,-3257.41,10.7977,0.437
1000000,12,-0.835441,-3291.31,5.83809,0.399
1020000,25,-7.70804,-3252.1,9.86452,0.445
1040000,20,-7.46897,-3234.91,9.88202,0.409
1060000,20,-9.08585,-3246.37,9.37078,0.4398
1080000,19,-3.63064,-3243.84,12.138,0.407
1100000,18,-5.22008,-3278.14,8.68384,0.454
1120000,14,-7.80494,-3286.9,10.7321,0.430125
1140000,18,-8.43665,-3258.51,6.57591,0.427
1160000,21,-4.44201,-3261.13,8.71591,0.417
1180000,21,-1.66656,-3269.7,11.6109,0.435
1200000,17,-1.51602,-3274.42,3.32878,0.426
1220000,18,-11.3322,-3289.04,11.2269,0.419
1240000,18,-8.11482,-3267.91,9.11454,0.4025
1260000,22,-13.419,-3258.59,13.4693,0.414
1280000,18,-3.05872,-3279.3,7.96056,0.43725
1300000,21,-2.63569,-3251.43,8.44242,0.427
1320000,19,-5.25319,-3282.82,11.5484,0.426
1340000,20,-2.57515,-3268.73,8.7625,0.458
1360000,17,-2.32703,-3280.03,9.57117,0.419
1380000,14,-8.47336,-3272.38,9.49732,0.398
1400000,22,-2.63381,-3266.87,14.2067,0.449
1420000,19,-2.18404,-3270.36,11.6435,0.448
1440000,16,-12.45,-3273.11,11.1107,0.4155
1460000,17,0.699455,-3266.34,8.43788,0.439
1480000,19,-9.84928,-3267.82,8.42668,0.443667
1500000,19,-8.99867,-3259.61,9.86678,0.44
1520000,19,-5.30044,-3289.31,10.5298,0.46
1540000,19,-4.09497,-3285.14,12.4345,0.441
1560000,18,-8.98022,-3275.03,9.24751,0.4257
1580000,13,-7.60699,-3293.51,8.59776,0.431455
1600000,14,3.32842,-3271.88,6.53376,0.433
1620000,21,-2.83247,-3253.2,11.336,0.446
1640000,20,-2.71153,-3270.72,12.8903,0.4435
1660000,18,-7.86984,-3269.74,11.5136,0.400667
1680000,13,-6.48109,-3290.86,4.88394,0.406333
1700000,16,-2.16951,-3274.55,11.883,0.429
1720000,19,-10.0655,-3275.94,10.0023,0.443
1740000,17,-8.49211,-3296.74,7.96777,0.415
1760000,18,-12.067,-3260.85,10.9037,0.443
1780000,18,-6.16652,-3255.78,13.3933,0.426563
1800000,18,-0.682188,-3262.1,6.42394,0.397
1820000,18,-2.33533,-3264.41,8.47813,0.422
1840000,15,-11.3936,-3274.48,11.9765,0.399333
1860000,14,5.5911,-3273.51,5.9919,0.411
1880000,16,-2.76333,-3284,6.57015,0.429
1900000,19,3.84465,-3268.46,9.98296,0.413
1920000,19,2.19077,-3277.36,7.45632,0.451
1940000,21,-12.6393,-3285.55,10.8705,0.445
1960000,15,-4.19264,-3273.78,6.92518,0.426818
1980000,11,-4.81752,-3311.74,8.50293,0.433
2000000,20,-8.85273,-3251.65,11.2479,0.427333
2020000,16,-4.38689,-3267.18,12.0019,0.433
2040000,19,-0.920865,-3256.84,9.05683,0.417
2060000,18,-4.79157,-3248.93,9.5305,0.438
2080000,20,-3.8413,-3273.48,10.6293,0.449
2100000,15,-4.86328,-3284.12,10.7654,0.431643
2120000,21,-9.29954,-3260.56,9.38359,0.41925
2140000,17,-2.26127,-3259.67,7.98042,0.4115
2160000,20,-5.89249,-3251.27,13.6875,0.446
2180000,23,-12.674,-3264.82,11.3283,0.4414
2200000,17,-7.36861,-3284.34,7.62031,0.449667
2220000,21,-16.413,-3252.12,11.0656,0.45
2240000,21,-12.5693,-3263.22,12.126,0.436
2260000,18,-7.25292,-3251.63,9.79016,0.412
2280000,18,-8.30785,-3260.46,9.39993,0.432
2300000,23,-3.21786,-3248.12,9.43415,0.432
2320000,18,-0.216406,-3254.19,5.70694,0.433
2340000,16,-4.88138,-3284.13,10.2601,0.436
2360000,15,-2.82583,-3264.41,9.60883,0.398
2380000,19,-5.10557,-3263.07,11.0948,0.425111
2400000,16,-2.17718,-3275.95,7.13875,0.438
2420000,20,-22.3252,-3283.48,10.3992,0.431
2440000,16,-1.35417,-3289.4,6.96734,0.4152
2460000,20,-3.8761,-3273.43,8.09187,0.422286
2480000,21,-4.13053,-3270.19,11.746,0.42
2500000,19,-5.95809,-3270,11.1424,0.441
2520000,20,-15.5337,-3261.39,13.1683,0.4384
2540000,13,-1.33358,-3286.8,3.976,0.44019
2560000,15,-4.73638,-3277.3,6.68912,0.428
2580000,17,-0.792141,-3285.38,8.31042,0.474
2600000,15,-2.03318,-3272.79,10.419,0.401
2620000,16,1.78116,-3283.15,8.89681,0.428
2640000,19,-10.712,-3275.53,9.01037,0.46
2660000,16,-5.90763,-3294.2,13.1408,0.4005
2680000,18,1.41066,-3267.83,8.17157,0.428
2700000,19,-11.1237,-3251.82,12.4644,0.429556
