generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.032,0,0.005,0
20000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.251601,0.0136168,0.142355,0
20000,Carex_indica|QLD|spm00002191,NA,37.1336,0.124007,0.0389746,0.483206,0
20000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_foenea|BRC|spm00002000,33.8416,0.98945,0.0385188,0.00836746,0
20000,Carex_squamiformis|CHQ|spm00005924,Carex_kukkoneniana|MLW|spm00005600,11.5032,0.466416,-0.0261875,0.187907,0
40000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.211041,0.0146115,0.0544102,0
40000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315,30.2352,0.851889,0.0145278,0.171489,0
40000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_purdiei|CLM|spm00007479,31.3415,1.17677,-0.000956231,0.155986,0
40000,Carex_squamiformis|CHQ|spm00005924,Carex_kukkoneniana|MLW|spm00005600,8.61018,0.345933,-0.0294047,0.0334658,0
60000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.226883,0.0138795,0.0946909,0
60000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323,33.9268,1.25297,0.0134238,0.0496737,0
60000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_foenea|BRC|spm00002000,32.124,1.13502,-0.0368496,0.0703198,0
60000,Carex_kirkii||spm00004417,NA,36.3974,0.413832,-0.0572534,0.0195272,0
80000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.242121,0.00296453,0.0325611,0
80000,Carex_vacillans|MAI|spm00001889,Carex_fucata|CHC|spm00006432,28.0728,0.643084,0.00208405,0.126276,0
80000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_ventosa|NZ|NCBI_AUTHOR_Gardner_312,34.8692,1.40629,0.0311591,0.249249,0
80000,Carex_yunnanensis|CHC|spm00005880,Carex_fastigiata|CHC|spm00005716,26.6249,0.810042,0.0242594,1.27963,0
80000,Carex_cryptostachys|VIE|spm00007869,NA,30.9301,0.0645111,0.0132739,0.59096,0
80000,Carex_mesochorea|ALA|spm00001097,Carex_diandra|CAL|spm00000840,29.9931,0.524081,-0.026677,0.0226124,0
80000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_orizabae|MXC|spm00000283,34.1729,1.13927,0.0288673,0.0531024,0
100000,Carex_vacillans|MAI|spm00001889,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.208869,0.0048099,0.00320957,0
100000,Carex_mitchelliana|ALA|spm00001101,Carex_gynandra|DEL|spm00000964,33.1671,0.0565978,0.00205904,0.112629,0
100000,Carex_subcernua|JAP|NCBI_AUTHOR_Senni_575,Carex_barbarae|CAL|spm00001449,33.5199,0.759918,0.0198303,0.211136,0
100000,Carex_aperta|BRC|spm00001842,NA,36.7698,2.72015,-0.00859202,0.702525,0
100000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323,33.6195,1.18442,-0.027319,0.381738,0
100000,Carex_pleiostachys||spm00004408,NA,35.827,1.16387,0.0436237,0.657085,0
