generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.16788,-5386.98,50,0
20000,3,-1.74529,-3408.92,4.69097,0.441
40000,3,-0.770881,-3388.2,4.60868,0.414
60000,3,-2.99578,-3406.01,4.83013,0.444
80000,6,-0.92124,-3373.01,2.39373,0.429
100000,23,-8.68937,-3318.96,19.8947,0.463
120000,17,-8.43025,-3293,17.5818,0.4465
140000,15,0.512452,-3303.71,12.0972,0.414
160000,16,0.875273,-3274.67,16.5593,0.4525
180000,19,2.73556,-3295.27,20.5948,0.42
200000,20,4.86049,-3293.38,20.516,0.475
220000,22,-4.17452,-3277.19,22.8949,0.474
240000,28,-1.23564,-3238.8,24.3514,0.458
260000,30,4.33004,-3243.75,19.5347,0.471
280000,20,-1.8165,-3268.88,22.2358,0.485
300000,28,1.50301,-3257.19,27.771,0.487
320000,20,6.80165,-3282.9,19.1931,0.421
340000,21,0.26572,-3251.48,22.5289,0.444333
360000,30,2.03519,-3264.68,24.7397,0.464
380000,25,6.78444,-3268.24,22.621,0.434
400000,26,-1.82347,-3266.99,24.3513,0.473
420000,24,-6.72081,-3287.1,23.5058,0.460714
440000,31,-4.20073,-3231.55,37.3017,0.452
460000,28,8.45743,-3242.55,27.5403,0.4546
480000,23,-8.84318,-3266.83,25.5544,0.448
500000,26,8.59259,-3250.92,26.9242,0.46
520000,32,-0.90529,-3250.83,48.265,0.502
540000,19,-1.61258,-3265.93,16.419,0.467
560000,20,-4.58568,-3261.77,17.6048,0.4412
580000,25,3.36862,-3264.72,28.2305,0.463
600000,28,5.1313,-3257.46,28.3271,0.455
620000,28,3.9838,-3244.13,25.2634,0.467667
640000,29,-4.80749,-3236.12,30.2833,0.431333
660000,32,2.34626,-3247.9,42.9813,0.456
680000,32,-3.825,-3245.63,25.9767,0.476778
700000,29,5.85785,-3250.65,32.3367,0.4605
720000,32,2.46038,-3243.45,32.2263,0.47
740000,25,2.77758,-3243.4,19.9914,0.436167
760000,35,-4.01078,-3249.89,28.5614,0.467
780000,28,1.2539,-3251.76,28.456,0.478
800000,30,-0.49058,-3261.51,23.2514,0.474917
820000,28,-15.5651,-3252.33,30.6657,0.437
840000,34,6.13317,-3228.02,42.4614,0.481
860000,28,-3.48465,-3269.92,27.2647,0.432
880000,27,-2.83379,-3233.22,41.4657,0.471667
900000,23,-9.9595,-3256.67,23.3482,0.436
920000,22,1.15128,-3277.54,25.1965,0.46
940000,23,-8.27476,-3288.28,22.7751,0.462
960000,26,0.430192,-3247.24,25.7823,0.437
980000,28,3.63626,-3253.56,31.045,0.467
1000000,28,-7.37518,-3256.78,30.8149,0.4576
1020000,28,-6.35424,-3242.18,30.6596,0.422
1040000,29,-7.70654,-3235.74,26.0689,0.478
1060000,29,-7.98657,-3259.51,28.9458,0.477
1080000,29,-2.03338,-3238.38,30.091,0.469
1100000,31,2.83454,-3276.23,39.3095,0.449409
1120000,40,-2.10664,-3237.59,40.8308,0.501
1140000,20,-4.59312,-3283.91,21.4111,0.447333
1160000,27,-8.64929,-3246.04,24.7892,0.462
1180000,34,3.61236,-3258.93,33.6296,0.455647
1200000,25,-5.39319,-3252.33,22.2997,0.4635
1220000,30,-3.20541,-3268.29,30.5161,0.4585
1240000,22,5.95098,-3265.67,22.0849,0.407
1260000,30,2.15092,-3251.68,32.018,0.4542
1280000,22,-1.58618,-3271.01,13.0607,0.459455
1300000,24,1.49849,-3261.73,19.0159,0.4426
1320000,21,-0.310512,-3271.54,16.0412,0.447647
1340000,31,-4.88915,-3261.84,41.6385,0.472
1360000,22,-6.44656,-3268.11,26.4212,0.439111
1380000,30,-6.26987,-3255.23,36.8032,0.475167
1400000,22,-0.541029,-3275.51,12.8796,0.466
1420000,25,2.77266,-3239.53,21.771,0.46
1440000,27,2.45004,-3249.34,34.5021,0.4486
1460000,26,-4.9039,-3260.94,31.5659,0.451833
1480000,21,0.921827,-3255.72,20.8282,0.447091
1500000,30,-9.45694,-3247.02,28.4528,0.448933
1520000,28,8.45286,-3269.85,24.8355,0.441
1540000,40,5.90144,-3233.18,37.264,0.4672
1560000,30,2.59896,-3245.59,30.957,0.468444
1580000,31,1.82127,-3243.57,28.4873,0.458
1600000,31,-3.40602,-3260.12,28.0137,0.469
1620000,27,2.02642,-3250.36,35.7791,0.457
1640000,25,-2.90055,-3250.14,27.6925,0.437333
