Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
0	-2232.82	-2235.626	2.805893	0.7795396	0.01
10	-2148.968	-2137.099	-11.86859	9.858981	0.01680327
20	-2152.974	-2136.049	-16.92527	15.26222	0.01712872
30	-2148.485	-2134.866	-13.61928	11.68599	0.0149286
40	-2148.492	-2135.563	-12.92955	10.99573	0.01482281
50	-2150.338	-2134.723	-15.61458	13.8799	0.01472313
60	-2148.981	-2135.735	-13.24596	11.17378	0.01701206
70	-2150.69	-2141.14	-9.550019	7.925801	0.01537844
80	-2148.286	-2135.282	-13.00337	10.9624	0.01650454
90	-2148.375	-2136.604	-11.77017	9.8018	0.01620074
100	-2151.703	-2135.06	-16.64374	15.09586	0.01480417
110	-2148.088	-2136.053	-12.03455	10.08676	0.01553606
120	-2149.113	-2138.231	-10.88198	9.065551	0.01510055
130	-2148.206	-2136.209	-11.99675	10.06595	0.01529514
140	-2148.316	-2134.159	-14.15669	12.17149	0.01605523
150	-2148.811	-2133.918	-14.89271	12.98568	0.01578834
160	-2148.905	-2137.541	-11.36346	9.506178	0.01490974
170	-2155.573	-2141.546	-14.02694	11.84348	0.01927611
180	-2148.369	-2136.562	-11.807	9.834507	0.01622339
190	-2148.544	-2136.58	-11.96402	9.963944	0.01650993
200	-2148.009	-2135.811	-12.19816	10.22507	0.01580077
210	-2148.582	-2137.131	-11.4514	9.569401	0.01518363
220	-2148.034	-2135.673	-12.36096	10.36456	0.01605738
230	-2148.644	-2134.122	-14.52222	12.61546	0.0152888
240	-2148.093	-2136.054	-12.0389	10.09248	0.01550883
250	-2148.182	-2135.068	-13.11414	11.16103	0.01510215
260	-2150.869	-2137.936	-12.93308	10.81318	0.01790002
270	-2148.919	-2134.614	-14.30528	12.28913	0.01667413
280	-2148.546	-2136.626	-11.92009	10.01598	0.01494323
290	-2148.218	-2134.759	-13.45942	11.42825	0.01636576
300	-2148.136	-2135.491	-12.64514	10.62277	0.01631463
310	-2148.517	-2134.185	-14.33163	12.41091	0.01527586
320	-2148.299	-2136.194	-12.10486	10.17895	0.01511285
330	-2149.255	-2135.064	-14.19112	12.14945	0.01696731
340	-2147.931	-2135.473	-12.45859	10.48094	0.01567951
350	-2148.543	-2137.269	-11.2742	9.37441	0.01578472
360	-2148.675	-2136.538	-12.13732	10.11607	0.01668869
370	-2149.761	-2135.906	-13.85511	11.97873	0.01426014
380	-2147.923	-2135.433	-12.48988	10.50852	0.01572083
